"from","to","n","from_iso","to_iso","nd","PERC","NDX"
"Maldives","Afghanistan",NA,"MDV","AFG",0.397870661,NA,NA
"Mali","Afghanistan",NA,"MLI","AFG",0.544416313,NA,NA
"Malta","Afghanistan",NA,"MLT","AFG",0.255508018,NA,NA
"Marshall Islands","Afghanistan",NA,"MHL","AFG",NA,NA,NA
"Mauritania","Afghanistan",NA,"MRT","AFG",0.465284438,NA,NA
"Mauritius","Afghanistan",NA,"MUS","AFG",0.339225937,NA,NA
"Mayotte","Afghanistan",NA,"MYT","AFG",NA,NA,NA
"Mexico","Afghanistan",NA,"MEX","AFG",0.289546763,NA,NA
"Micronesia, Fed. Sts.","Afghanistan",NA,"FSM","AFG",0.482598445,NA,NA
"Moldova","Afghanistan",NA,"MDA","AFG",0.322664458,NA,NA
"Monaco","Afghanistan",NA,"MCO","AFG",0.188172353,NA,NA
"Mongolia","Afghanistan",NA,"MNG","AFG",0.399306925,NA,NA
"Montenegro","Afghanistan",NA,"MNE","AFG",NA,NA,NA
"Morocco","Afghanistan",NA,"MAR","AFG",0.364708027,NA,NA
"Mozambique","Afghanistan",NA,"MOZ","AFG",0.513186923,NA,NA
"Myanmar","Afghanistan",NA,"MMR","AFG",0.450518179,NA,NA
"Namibia","Afghanistan",NA,"NAM","AFG",0.427028075,NA,NA
"Nepal","Afghanistan",NA,"NPL","AFG",0.477594163,NA,NA
"Netherlands","Afghanistan",NA,"NLD","AFG",0.19057085,NA,NA
"Netherlands Antilles","Afghanistan",NA,"ANT","AFG",NA,NA,NA
"New Caledonia","Afghanistan",NA,"NCL","AFG",NA,NA,NA
"New Zealand","Afghanistan",NA,"NZL","AFG",0.25937051,NA,NA
"Nicaragua","Afghanistan",NA,"NIC","AFG",0.375611552,NA,NA
"Niger","Afghanistan",NA,"NER","AFG",0.529114441,NA,NA
"Nigeria","Afghanistan",NA,"NGA","AFG",0.502678199,NA,NA
"Northern Mariana Islands","Afghanistan",NA,"MNP","AFG",NA,NA,NA
"Norway","Afghanistan",NA,"NOR","AFG",0.161815828,NA,NA
"Oman","Afghanistan",NA,"OMN","AFG",0.320837551,NA,NA
"Pakistan","Afghanistan",NA,"PAK","AFG",0.430075243,NA,NA
"Palau","Afghanistan",NA,"PLW","AFG",NA,NA,NA
"Panama","Afghanistan",NA,"PAN","AFG",0.339105111,NA,NA
"Papua New Guinea","Afghanistan",NA,"PNG","AFG",0.5018407,NA,NA
"Paraguay","Afghanistan",NA,"PRY","AFG",0.344765468,NA,NA
"Peru","Afghanistan",NA,"PER","AFG",0.369894385,NA,NA
"Philippines","Afghanistan",NA,"PHL","AFG",0.381765514,NA,NA
"Poland","Afghanistan",NA,"POL","AFG",0.149939918,NA,NA
"Portugal","Afghanistan",NA,"PRT","AFG",0.254607569,NA,NA
"Puerto Rico","Afghanistan",NA,"PRI","AFG",NA,NA,NA
"Qatar","Afghanistan",NA,"QAT","AFG",0.293961871,NA,NA
"Romania","Afghanistan",NA,"ROU","AFG",0.25070976,NA,NA
"Russian Federation","Afghanistan",NA,"RUS","AFG",0.289435913,NA,NA
"Rwanda","Afghanistan",NA,"RWA","AFG",0.520745874,NA,NA
"Samoa","Afghanistan",NA,"WSM","AFG",NA,NA,NA
"San Marino","Afghanistan",NA,"SMR","AFG",NA,NA,NA
"São Tomé and Principe","Afghanistan",NA,"STP","AFG",0.502075232,NA,NA
"Saudi Arabia","Afghanistan",NA,"SAU","AFG",0.341458032,NA,NA
"Senegal","Afghanistan",NA,"SEN","AFG",0.472086175,NA,NA
"Serbia","Afghanistan",NA,"SRB","AFG",0.334148658,NA,NA
"Seychelles","Afghanistan",NA,"SYC","AFG",0.372139737,NA,NA
"Sierra Leone","Afghanistan",NA,"SLE","AFG",0.589453921,NA,NA
"Singapore","Afghanistan",NA,"SGP","AFG",0.352335547,NA,NA
"Slovak Republic","Afghanistan",NA,"SVK","AFG",0.187754477,NA,NA
"Slovenia","Afghanistan",NA,"SVN","AFG",0.170795336,NA,NA
"Solomon Islands","Afghanistan",NA,"SLB","AFG",0.54393412,NA,NA
"Somalia","Afghanistan",NA,"SOM","AFG",0.619269074,NA,NA
"South Africa","Afghanistan",NA,"ZAF","AFG",0.365560843,NA,NA
"Spain","Afghanistan",NA,"ESP","AFG",0.213517562,NA,NA
"Sri Lanka","Afghanistan",NA,"LKA","AFG",0.331939377,NA,NA
"St. Kitts and Nevis","Afghanistan",NA,"KNA","AFG",0.397369798,NA,NA
"St. Lucia","Afghanistan",NA,"LCA","AFG",0.303784368,NA,NA
"St. Vincent and the Grenadines","Afghanistan",NA,"VCT","AFG",0.361696647,NA,NA
"Sudan","Afghanistan",NA,"SDN","AFG",0.526867847,NA,NA
"Suriname","Afghanistan",NA,"SUR","AFG",0.305608387,NA,NA
"Swaziland","Afghanistan",NA,"SWZ","AFG",0.411058237,NA,NA
"Sweden","Afghanistan",NA,"SWE","AFG",0.205265765,NA,NA
"Switzerland","Afghanistan",NA,"CHE","AFG",0.155764363,NA,NA
"Syrian Arab Republic","Afghanistan",NA,"SYR","AFG",0.349158994,NA,NA
"Tajikistan","Afghanistan",NA,"TJK","AFG",0.398371714,NA,NA
"Tanzania","Afghanistan",NA,"TZA","AFG",0.535534539,NA,NA
"Thailand","Afghanistan",NA,"THA","AFG",0.308106181,NA,NA
"Timor-Leste","Afghanistan",NA,"TLS","AFG",0.534921927,NA,NA
"Togo","Afghanistan",NA,"TGO","AFG",0.575294446,NA,NA
"Tonga","Afghanistan",NA,"TON","AFG",0.416826951,NA,NA
"Trinidad and Tobago","Afghanistan",NA,"TTO","AFG",0.302344053,NA,NA
"Tunisia","Afghanistan",NA,"TUN","AFG",0.317379887,NA,NA
"Turkey","Afghanistan",NA,"TUR","AFG",0.277430808,NA,NA
"Turkmenistan","Afghanistan",NA,"TKM","AFG",0.293216469,NA,NA
"Turks and Caicos Islands","Afghanistan",NA,"TCA","AFG",NA,NA,NA
"Tuvalu","Afghanistan",NA,"TUV","AFG",NA,NA,NA
"Uganda","Afghanistan",NA,"UGA","AFG",0.521598036,NA,NA
"Ukraine","Afghanistan",NA,"UKR","AFG",0.262116511,NA,NA
"United Arab Emirates","Afghanistan",NA,"ARE","AFG",0.297816031,NA,NA
"United Kingdom","Afghanistan",NA,"GBR","AFG",0.164744418,NA,NA
"United States","Afghanistan",NA,"USA","AFG",0.199021375,NA,NA
"Uruguay","Afghanistan",NA,"URY","AFG",0.273960494,NA,NA
"Uzbekistan","Afghanistan",NA,"UZB","AFG",0.304348356,NA,NA
"Vanuatu","Afghanistan",NA,"VUT","AFG",0.447106462,NA,NA
"Venezuela, RB","Afghanistan",NA,"VEN","AFG",0.284910779,NA,NA
"Vietnam","Afghanistan",NA,"VNM","AFG",0.381388268,NA,NA
"Virgin Islands (U.S.)","Afghanistan",NA,"VIR","AFG",NA,NA,NA
"West Bank and Gaza","Afghanistan",NA,"PSE","AFG",NA,NA,NA
"Yemen, Rep.","Afghanistan",NA,"YEM","AFG",0.527486219,NA,NA
"Zambia","Afghanistan",NA,"ZMB","AFG",0.4972256,NA,NA
"Zimbabwe","Afghanistan",NA,"ZWE","AFG",0.472287007,NA,NA
"Other South","Afghanistan",NA,NA,"AFG",NA,NA,NA
"Other North","Afghanistan",NA,NA,"AFG",NA,NA,NA
"Afghanistan","Albania",0,"AFG","ALB",0.582658705,0,0
"Albania","Albania",0,"ALB","ALB",0.332708616,0,0
"Algeria","Albania",0,"DZA","ALB",0.332497303,0,0
"American Samoa","Albania",0,"ASM","ALB",NA,0,NA
"Andorra","Albania",0,"AND","ALB",NA,0,NA
"Angola","Albania",0,"AGO","ALB",0.515639404,0,0
"Antigua and Barbuda","Albania",0,"ATG","ALB",0.410103328,0,0
"Argentina","Albania",0,"ARG","ALB",0.262239067,0,0
"Armenia","Albania",0,"ARM","ALB",0.29721401,0,0
"Aruba","Albania",0,"ABW","ALB",NA,0,NA
"Australia","Albania",0,"AUS","ALB",0.238866553,0,0
"Austria","Albania",0,"AUT","ALB",0.194990141,0,0
"Azerbaijan","Albania",0,"AZE","ALB",0.292860758,0,0
"Bahamas, The","Albania",0,"BHS","ALB",0.3484318,0,0
"Bahrain","Albania",0,"BHR","ALB",0.338698428,0,0
