"from","to","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","from_iso","to_iso","avg","nd","TOTAL","PERC","NDX"
"Anguilla","United States","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,NA,4,0,0,"AIA","USA",1,0.199021375,722.9361184,0.0013832480831269,0.00027529593547003
"Antigua and Barbuda","Argentina","0","0.000000","0.000000","0.000000","308.313000","263.954000","-259.976000",53.032,8.11,9.644,1.895,538.842,"ATG","ARG",122.3046,0.262239067,129.845442,0.941924476640466,0.247009395938659
"Antigua and Barbuda","Bulgaria","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1.611308,5.417848,1.589309,6.995016,0,"ATG","BGR",3.1226962,0.223077829,129.845442,0.0240493324363284,0.00536487286879542
"Antigua and Barbuda","Cyprus","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,2.931195,0,0,0,"ATG","CYP",0.586239,0.226918286,129.845442,0.00451489856686691,0.00102451304425729
"Antigua and Barbuda","France","0.894846578554107","1.882264","1.128625","1.241673","48.500224","0.000000","0.000000",0,0,0,NA,0,"ATG","FRA",0,0.150847644,129.845442,0,0
"Antigua and Barbuda","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5.668876,4.917739,0,0,0,"ATG","ITA",2.117323,0.211710304,129.845442,0.0163064869077191,0.00345225130040523
"Antigua and Barbuda","Luxembourg","0","-0.941132","-1.128625","0.000000","0.000000","0.000000","0.000000",5.859303,1.389192,1.324424,0,0,"ATG","LUX",1.7145838,0.129131919,129.845442,0.0132048054486194,0.00170516186760188
"Antigua and Barbuda","Slovenia","0","0.000000","0.000000","0.000000","-1.243595","0.000000","0.000000",0,0,0,0,0,"ATG","SVN",0,0.170795336,129.845442,0,0
"Argentina","Australia",NA,"..","..","..","..","..","..",10.904394,NA,NA,NA,NA,"ARG","AUS",10.904394,0.238866553,1678.6965254,0.006495750622586,0.00155161756036472
"Argentina","Austria","-1.2536800565543","0.000000","0.000000","0.998305","0.000000","0.000000","-19.845669",0,0,0,0,0,"ARG","AUT",0,0.194990141,1678.6965254,0,0
"Argentina","Belgium","0","..","..","..","..","..","0.000000",0,2.778384,13.244244,5.560537,1.284862,"ARG","BEL",4.5736054,0.205225833,1678.6965254,0.00272449804404653,0.000559137380596319
"Argentina","Bolivia","99.862","31.176000","20.350000","29.903000","55.093000","25.214000","-10.466000",35.934,0,37.424,51.665,0,"ARG","BOL",25.0046,0.378167921,1678.6965254,0.014895247367026,0.00563290472956894
"Argentina","Brazil","10.127","84.109000","66.602000","78.323000","104.020000","122.227000","31.383000",90.535,5.912,0,0,0,"ARG","BRA",19.2894,0.295596157,1678.6965254,0.0114907010934592,0.00339660708446225
